"ACCNUM"	"SYMBOL"	"DESC"
"1007_s_at"	"U48705"	"NA"	"NA"
"1053_at"	"M87338"	"RFC2"	"replication factor C (activator 1) 2, 40kDa"
"117_at"	"X51757"	"HSPA6"	"heat shock 70kDa protein 6 (HSP70B')"
"121_at"	"X69699"	"PAX8"	"paired box 8"
"1255_g_at"	"L36861"	"GUCA1A"	"guanylate cyclase activator 1A (retina)"
"1294_at"	"L13852"	"NA"	"NA"
"1316_at"	"X55005"	"THRA"	"thyroid hormone receptor, alpha"
"1320_at"	"X79510"	"PTPN21"	"protein tyrosine phosphatase, non-receptor type 21"
"1405_i_at"	"M21121"	"CCL5"	"chemokine (C-C motif) ligand 5"
"1431_at"	"J02843"	"CYP2E1"	"cytochrome P450, family 2, subfamily E, polypeptide 1"
"1438_at"	"X75208"	"EPHB3"	"EPH receptor B3"
"1487_at"	"L38487"	"ESRRA"	"estrogen-related receptor alpha"
"1494_f_at"	"M33318"	"CYP2A6"	"cytochrome P450, family 2, subfamily A, polypeptide 6"
"1598_g_at"	"L13720"	"GAS6"	"growth arrest-specific 6"
"160020_at"	"Z48481"	"MMP14"	"matrix metallopeptidase 14 (membrane-inserted)"
"1729_at"	"L41690"	"TRADD"	"TNFRSF1A-associated via death domain"
"1773_at"	"L00635"	"NA"	"NA"
"177_at"	"U38545"	"PLD1"	"phospholipase D1, phosphatidylcholine-specific"
"179_at"	"U38980"	"DTX2P1-UPK3BP1-PMS2P11"	"DTX2P1-UPK3BP1-PMS2P11 readthrough transcribed pseudogene"
"1861_at"	"U66879"	"BAD"	"BCL2-associated agonist of cell death"
"200000_s_at"	"NM_006445"	"PRPF8"	"pre-mRNA processing factor 8"
"200001_at"	"NM_001749"	"CAPNS1"	"calpain, small subunit 1"
"200002_at"	"NM_007209"	"RPL35"	"ribosomal protein L35"
"200003_s_at"	"NM_000991"	"NA"	"NA"
"200004_at"	"NM_001418"	"EIF4G2"	"eukaryotic translation initiation factor 4 gamma, 2"
"200005_at"	"NM_003753"	"EIF3D"	"eukaryotic translation initiation factor 3, subunit D"
